iter	Logloss
0	0.2989520834
1	0.2242640679
2	0.1915563733
3	0.1843428079
4	0.1795974972
5	0.1757153657
6	0.1730316286
7	0.1722729279
8	0.1710170752
9	0.17048988
10	0.1698601989
11	0.1686057096
12	0.1674329716
13	0.1667329882
14	0.1654808201
15	0.1648875172
16	0.164550771
17	0.1642009903
18	0.1635331447
19	0.1631160369
20	0.1623592001
21	0.1619385147
22	0.1615327278
23	0.1611055647
24	0.1610726204
25	0.1603635745
26	0.1596995514
27	0.159211619
28	0.158722718
29	0.1583541827
30	0.1580561472
31	0.1576906514
32	0.1575427077
33	0.157484939
34	0.1571799136
35	0.156911697
36	0.156470278
37	0.1558723247
38	0.1558722995
39	0.1548863966
40	0.1542805451
41	0.1538914275
42	0.1537257301
43	0.15306025
44	0.1530598175
45	0.1530265784
46	0.1527439644
47	0.152467318
48	0.1519998232
49	0.1516249644
50	0.1509312605
51	0.1505302298
52	0.1499981039
53	0.1497650786
54	0.1494718093
55	0.1493194938
56	0.1489674128
57	0.1487321027
58	0.1481580438
59	0.1479616876
60	0.1478646257
61	0.1473615166
62	0.1468598531
63	0.1466988832
64	0.1458276574
65	0.145513134
66	0.1450560003
67	0.1446248685
68	0.1442294382
69	0.1439059139
70	0.1439037537
71	0.1436262977
72	0.143295792
73	0.1428186221
74	0.1427282502
75	0.1426878956
76	0.1421764775
77	0.1418436978
78	0.1415659562
79	0.141373089
