iter	Logloss
0	0.3061347701
1	0.2256599496
2	0.1941005548
3	0.1833918022
4	0.1802202866
5	0.1773018409
6	0.1754810407
7	0.1747598687
8	0.1739316283
9	0.1732842177
10	0.1718333496
11	0.1711160301
12	0.1709147023
13	0.1706996929
14	0.1702335672
15	0.1697326159
16	0.1693502149
17	0.1691273574
18	0.1682312101
19	0.1674209821
20	0.1665386878
21	0.1662734613
22	0.1662039128
23	0.165725959
24	0.1646222292
25	0.1637614897
26	0.1636614757
27	0.1634727618
28	0.1633770723
29	0.1633618493
30	0.1627436062
31	0.1621581696
32	0.1615825389
33	0.1615315553
34	0.1607734254
35	0.1603448198
36	0.1596822779
37	0.1594916381
38	0.1590486515
39	0.1585671496
40	0.1582172678
41	0.1579955224
42	0.1575567677
43	0.1571766022
44	0.1568355102
45	0.1564971852
46	0.1559938543
47	0.1557661715
48	0.1554673989
49	0.1546151468
50	0.1539317899
51	0.1535264156
52	0.1534294466
53	0.1527824875
54	0.1526038545
55	0.1520417259
56	0.1517551805
57	0.1515394133
58	0.1510586028
59	0.1507666182
60	0.1506172676
61	0.1502337874
62	0.1499697615
63	0.149477187
64	0.1492702056
65	0.1491900192
66	0.1486644216
67	0.1485509735
68	0.1484288978
69	0.1480071192
70	0.147882778
71	0.1474469432
72	0.147137021
73	0.146938854
74	0.14652668
75	0.1463982171
76	0.146330486
77	0.1460194643
78	0.1457898045
79	0.1450807224
